#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
10.0%,20,0.010000000000000005,-83933.98265775315,2605.6313815915937,-81328.35127616156,60.715959050131346,52.72519371216118,0.9784032725358506,0,--
20.0%,40,0.020000000000000014,-83568.84750465436,2358.028129844121,-81210.81937481023,54.946352113406455,52.72519371216118,0.9784032725358506,0.929,0:07
30.0%,60,0.030000000000000023,-83597.36549008927,2569.764291253606,-81027.60119883566,59.88019048992986,52.72519371216118,0.9784032725358506,0.92,0:06
40.0%,80,0.04000000000000003,-83441.8005293879,2602.6151354504336,-80839.18539393746,60.64567501898035,52.72519371216118,0.9784032725358506,0.936,0:05
50.0%,100,0.05000000000000004,-83262.59391584931,2588.911700117266,-80673.68221573204,60.32636000596169,52.72519371216118,0.9784032725358506,0.92,0:04
60.0%,120,0.060000000000000046,-83251.83660724919,2729.1065913568154,-80522.73001589238,63.59315642838531,52.72519371216118,0.9784032725358506,0.895,0:03
70.0%,140,0.07000000000000005,-83131.07176078945,2757.5423645736414,-80373.5293962158,64.25576175866692,52.72519371216118,0.9784032725358506,0.883,0:02
80.0%,160,0.08000000000000006,-83039.92158066886,2814.068784160825,-80225.85279650803,65.57293033483352,52.72519371216118,0.9784032725358506,0.88,0:01
90.0%,180,0.09000000000000007,-82892.50501620036,2795.075729643262,-80097.4292865571,65.13035755632296,52.72519371216118,0.9784032725358506,0.87,0:00
100.0%,200,0.10000000000000007,-82782.96428767947,2847.1773551490974,-79935.78693253038,66.34442036774232,52.72519371216118,0.9784032725358506,0.866,0:00
